"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Ano x Cor ou raça x Sexo"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"2022"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";;;"Branca";;;"Preta";;;"Amarela";;;"Parda";;;"Indígena"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Rio de Janeiro";"80 a 84 anos";"229376";"84593";"144783";"133076";"48741";"84335";"27781";"9522";"18259";"525";"246";"279";"67680";"25977";"41703";"301";"103";"198"
"Rio de Janeiro";"80 anos";"57617";"21858";"35759";"32709";"12276";"20433";"7258";"2623";"4635";"128";"60";"68";"17451";"6881";"10570";"70";"17";"53"
"Rio de Janeiro";"81 anos";"46489";"17616";"28873";"27131";"10208";"16923";"5552";"1890";"3662";"107";"50";"57";"13632";"5444";"8188";"66";"24";"42"
"Rio de Janeiro";"82 anos";"47176";"17272";"29904";"27119";"9865";"17254";"5848";"2010";"3838";"106";"52";"54";"14035";"5317";"8718";"64";"28";"36"
"Rio de Janeiro";"83 anos";"40785";"14734";"26051";"24040";"8647";"15393";"4733";"1571";"3162";"99";"46";"53";"11855";"4449";"7406";"54";"19";"35"
"Rio de Janeiro";"84 anos";"37309";"13113";"24196";"22077";"7745";"14332";"4390";"1428";"2962";"85";"38";"47";"10707";"3886";"6821";"47";"15";"32"
"Rio de Janeiro";"85 a 89 anos";"128213";"41692";"86521";"78608";"25554";"53054";"14595";"4286";"10309";"283";"122";"161";"34560";"11685";"22875";"158";"43";"115"
"Rio de Janeiro";"85 anos";"32449";"11124";"21325";"19571";"6669";"12902";"3790";"1207";"2583";"84";"40";"44";"8961";"3194";"5767";"42";"14";"28"
"Rio de Janeiro";"86 anos";"30572";"10147";"20425";"18451";"6150";"12301";"3537";"1056";"2481";"69";"21";"48";"8474";"2909";"5565";"38";"9";"29"
"Rio de Janeiro";"87 anos";"25608";"8212";"17396";"15665";"5008";"10657";"2876";"830";"2046";"48";"24";"24";"6981";"2341";"4640";"37";"9";"28"
"Rio de Janeiro";"88 anos";"21144";"6714";"14430";"13308";"4257";"9051";"2300";"649";"1651";"51";"28";"23";"5456";"1771";"3685";"28";"9";"19"
"Rio de Janeiro";"89 anos";"18440";"5495";"12945";"11613";"3470";"8143";"2092";"544";"1548";"31";"9";"22";"4688";"1470";"3218";"13";"2";"11"
"Rio de Janeiro";"90 a 94 anos";"57985";"16196";"41789";"37156";"10194";"26962";"6281";"1666";"4615";"112";"46";"66";"14344";"4265";"10079";"91";"25";"66"
"Rio de Janeiro";"90 anos";"16629";"4903";"11726";"10323";"3019";"7304";"1925";"515";"1410";"41";"14";"27";"4318";"1352";"2966";"22";"3";"19"
"Rio de Janeiro";"91 anos";"13254";"3819";"9435";"8634";"2414";"6220";"1339";"391";"948";"25";"14";"11";"3233";"992";"2241";"23";"8";"15"
"Rio de Janeiro";"92 anos";"12074";"3259";"8815";"7658";"2026";"5632";"1328";"340";"988";"23";"9";"14";"3046";"880";"2166";"19";"4";"15"
